phase,train_fraction,method,queue_run,severity,corruption,it_total_ood_auroc,it_epistemic_ood_auroc,it_aleatoric_ood_auroc
full-data,1.0,sngp,1692idyk,5,gaussian_noise,0.939217,0.942547,0.939169
full-data,1.0,sngp,1692idyk,5,impulse_noise,0.956367,0.960472,0.956318
full-data,1.0,sngp,1692idyk,5,jpeg,0.845091,0.831224,0.845141
full-data,1.0,sngp,1692idyk,5,motion_blur,0.842244,0.838074,0.842247
full-data,1.0,sngp,1692idyk,5,pixelate,0.860044,0.860306,0.860022
full-data,1.0,sngp,1692idyk,5,shot_noise,0.929742,0.931840,0.929703
full-data,1.0,sngp,1692idyk,5,snow,0.779148,0.771065,0.779167
full-data,1.0,sngp,1692idyk,5,zoom_blur,0.894301,0.894717,0.894270
full-data,1.0,edl,5lhhpt1y,1,brightness,0.496656,0.496673,0.496756
full-data,1.0,edl,5lhhpt1y,1,contrast,0.515340,0.515346,0.515392
full-data,1.0,edl,5lhhpt1y,1,defocus_blur,0.502991,0.503019,0.502988
full-data,1.0,edl,5lhhpt1y,1,elastic,0.620412,0.620526,0.620390
full-data,1.0,edl,5lhhpt1y,1,fog,0.508238,0.508254,0.508170
full-data,1.0,edl,5lhhpt1y,1,frost,0.590618,0.590598,0.590628
full-data,1.0,edl,5lhhpt1y,1,frosted_glass_blur,0.865395,0.865843,0.863542
full-data,1.0,edl,5lhhpt1y,1,gaussian_noise,0.712933,0.712867,0.713149
full-data,1.0,edl,5lhhpt1y,1,impulse_noise,0.647067,0.647288,0.646237
full-data,1.0,edl,5lhhpt1y,1,jpeg,0.655924,0.656076,0.655772
full-data,1.0,edl,5lhhpt1y,1,motion_blur,0.607864,0.607970,0.607837
full-data,1.0,edl,5lhhpt1y,1,pixelate,0.554688,0.554787,0.554602
full-data,1.0,edl,5lhhpt1y,1,shot_noise,0.640288,0.640285,0.640268
full-data,1.0,edl,5lhhpt1y,1,snow,0.600876,0.600954,0.600889
full-data,1.0,edl,5lhhpt1y,1,zoom_blur,0.666296,0.666471,0.665888
full-data,1.0,edl,5lhhpt1y,2,brightness,0.500797,0.500816,0.500744
full-data,1.0,edl,5lhhpt1y,2,contrast,0.597437,0.597507,0.597577
full-data,1.0,edl,5lhhpt1y,2,defocus_blur,0.538644,0.538654,0.538588
full-data,1.0,edl,5lhhpt1y,2,elastic,0.618929,0.619103,0.618821
full-data,1.0,edl,5lhhpt1y,2,fog,0.546034,0.546086,0.546106
full-data,1.0,edl,5lhhpt1y,2,frost,0.667815,0.667837,0.667621
full-data,1.0,edl,5lhhpt1y,2,frosted_glass_blur,0.858145,0.858527,0.856178
full-data,1.0,edl,5lhhpt1y,2,gaussian_noise,0.804745,0.804770,0.804853
full-data,1.0,edl,5lhhpt1y,2,impulse_noise,0.745283,0.745721,0.743435
full-data,1.0,edl,5lhhpt1y,2,jpeg,0.712405,0.712533,0.712203
full-data,1.0,edl,5lhhpt1y,2,motion_blur,0.698563,0.698687,0.698348
full-data,1.0,edl,5lhhpt1y,2,pixelate,0.609100,0.609098,0.609128
full-data,1.0,edl,5lhhpt1y,2,shot_noise,0.715470,0.715445,0.715544
full-data,1.0,edl,5lhhpt1y,2,snow,0.722621,0.722708,0.722259
full-data,1.0,edl,5lhhpt1y,2,zoom_blur,0.698409,0.698607,0.698166
full-data,1.0,edl,5lhhpt1y,3,brightness,0.512507,0.512563,0.512364
full-data,1.0,edl,5lhhpt1y,3,contrast,0.664780,0.664814,0.664768
full-data,1.0,edl,5lhhpt1y,3,defocus_blur,0.625107,0.625197,0.624741
full-data,1.0,edl,5lhhpt1y,3,elastic,0.677344,0.677533,0.676846
full-data,1.0,edl,5lhhpt1y,3,fog,0.589409,0.589488,0.589519
full-data,1.0,edl,5lhhpt1y,3,frost,0.755009,0.755099,0.754707
full-data,1.0,edl,5lhhpt1y,3,frosted_glass_blur,0.843697,0.844068,0.842563
full-data,1.0,edl,5lhhpt1y,3,gaussian_noise,0.844162,0.844324,0.843611
full-data,1.0,edl,5lhhpt1y,3,impulse_noise,0.815607,0.816183,0.812969
full-data,1.0,edl,5lhhpt1y,3,jpeg,0.730406,0.730540,0.730004
full-data,1.0,edl,5lhhpt1y,3,motion_blur,0.771045,0.771287,0.770585
full-data,1.0,edl,5lhhpt1y,3,pixelate,0.647543,0.647522,0.647515
full-data,1.0,edl,5lhhpt1y,3,shot_noise,0.812576,0.812621,0.812680
full-data,1.0,edl,5lhhpt1y,3,snow,0.686560,0.686719,0.685831
full-data,1.0,edl,5lhhpt1y,3,zoom_blur,0.752650,0.752894,0.751985
full-data,1.0,edl,5lhhpt1y,4,brightness,0.530618,0.530715,0.530301
full-data,1.0,edl,5lhhpt1y,4,contrast,0.758460,0.758458,0.758803
full-data,1.0,edl,5lhhpt1y,4,defocus_blur,0.735272,0.735324,0.735010
full-data,1.0,edl,5lhhpt1y,4,elastic,0.758994,0.759273,0.757563
full-data,1.0,edl,5lhhpt1y,4,fog,0.648070,0.648138,0.647898
full-data,1.0,edl,5lhhpt1y,4,frost,0.767677,0.767728,0.767523
full-data,1.0,edl,5lhhpt1y,4,frosted_glass_blur,0.884689,0.885185,0.882067
