phase,train_fraction,method,queue_run,severity,corruption,it_total_ood_auroc,it_epistemic_ood_auroc,it_aleatoric_ood_auroc
full-data,1.0,loss-prediction,9fb4ansn,2,frosted_glass_blur,0.824981,0.500000,0.824981
full-data,1.0,loss-prediction,9fb4ansn,2,gaussian_noise,0.748495,0.500000,0.748495
full-data,1.0,loss-prediction,9fb4ansn,2,impulse_noise,0.741329,0.500000,0.741329
full-data,1.0,loss-prediction,9fb4ansn,2,jpeg,0.692600,0.500000,0.692600
full-data,1.0,loss-prediction,9fb4ansn,2,motion_blur,0.709286,0.500000,0.709286
full-data,1.0,loss-prediction,9fb4ansn,2,pixelate,0.578672,0.500000,0.578672
full-data,1.0,loss-prediction,9fb4ansn,2,shot_noise,0.659449,0.500000,0.659449
full-data,1.0,loss-prediction,9fb4ansn,2,snow,0.709615,0.500000,0.709615
full-data,1.0,loss-prediction,9fb4ansn,2,zoom_blur,0.715476,0.500000,0.715476
full-data,1.0,loss-prediction,9fb4ansn,3,brightness,0.521507,0.500000,0.521507
full-data,1.0,loss-prediction,9fb4ansn,3,contrast,0.690028,0.500000,0.690028
full-data,1.0,loss-prediction,9fb4ansn,3,defocus_blur,0.664143,0.500000,0.664143
full-data,1.0,loss-prediction,9fb4ansn,3,elastic,0.700748,0.500000,0.700748
full-data,1.0,loss-prediction,9fb4ansn,3,fog,0.604963,0.500000,0.604963
full-data,1.0,loss-prediction,9fb4ansn,3,frost,0.708021,0.500000,0.708021
full-data,1.0,loss-prediction,9fb4ansn,3,frosted_glass_blur,0.803722,0.500000,0.803722
full-data,1.0,loss-prediction,9fb4ansn,3,gaussian_noise,0.819616,0.500000,0.819616
full-data,1.0,loss-prediction,9fb4ansn,3,impulse_noise,0.801350,0.500000,0.801350
full-data,1.0,loss-prediction,9fb4ansn,3,jpeg,0.707392,0.500000,0.707392
full-data,1.0,loss-prediction,9fb4ansn,3,motion_blur,0.773302,0.500000,0.773302
full-data,1.0,loss-prediction,9fb4ansn,3,pixelate,0.601765,0.500000,0.601765
full-data,1.0,loss-prediction,9fb4ansn,3,shot_noise,0.767284,0.500000,0.767284
full-data,1.0,loss-prediction,9fb4ansn,3,snow,0.683479,0.500000,0.683479
full-data,1.0,loss-prediction,9fb4ansn,3,zoom_blur,0.763166,0.500000,0.763166
full-data,1.0,loss-prediction,9fb4ansn,4,brightness,0.541540,0.500000,0.541540
full-data,1.0,loss-prediction,9fb4ansn,4,contrast,0.777592,0.500000,0.777592
full-data,1.0,loss-prediction,9fb4ansn,4,defocus_blur,0.754498,0.500000,0.754498
full-data,1.0,loss-prediction,9fb4ansn,4,elastic,0.764710,0.500000,0.764710
full-data,1.0,loss-prediction,9fb4ansn,4,fog,0.662525,0.500000,0.662525
full-data,1.0,loss-prediction,9fb4ansn,4,frost,0.716251,0.500000,0.716251
full-data,1.0,loss-prediction,9fb4ansn,4,frosted_glass_blur,0.859223,0.500000,0.859223
full-data,1.0,loss-prediction,9fb4ansn,4,gaussian_noise,0.846774,0.500000,0.846774
full-data,1.0,loss-prediction,9fb4ansn,4,impulse_noise,0.867776,0.500000,0.867776
full-data,1.0,loss-prediction,9fb4ansn,4,jpeg,0.728092,0.500000,0.728092
full-data,1.0,loss-prediction,9fb4ansn,4,motion_blur,0.773302,0.500000,0.773302
full-data,1.0,loss-prediction,9fb4ansn,4,pixelate,0.676428,0.500000,0.676428
full-data,1.0,loss-prediction,9fb4ansn,4,shot_noise,0.804571,0.500000,0.804571
full-data,1.0,loss-prediction,9fb4ansn,4,snow,0.699291,0.500000,0.699291
full-data,1.0,loss-prediction,9fb4ansn,4,zoom_blur,0.797099,0.500000,0.797099
full-data,1.0,loss-prediction,9fb4ansn,5,brightness,0.592648,0.500000,0.592648
full-data,1.0,loss-prediction,9fb4ansn,5,contrast,0.908832,0.500000,0.908832
full-data,1.0,loss-prediction,9fb4ansn,5,defocus_blur,0.856962,0.500000,0.856962
full-data,1.0,loss-prediction,9fb4ansn,5,elastic,0.781880,0.500000,0.781880
full-data,1.0,loss-prediction,9fb4ansn,5,fog,0.775818,0.500000,0.775818
full-data,1.0,loss-prediction,9fb4ansn,5,frost,0.770215,0.500000,0.770215
full-data,1.0,loss-prediction,9fb4ansn,5,frosted_glass_blur,0.844333,0.500000,0.844333
full-data,1.0,loss-prediction,9fb4ansn,5,gaussian_noise,0.869553,0.500000,0.869553
full-data,1.0,loss-prediction,9fb4ansn,5,impulse_noise,0.900613,0.500000,0.900613
full-data,1.0,loss-prediction,9fb4ansn,5,jpeg,0.751317,0.500000,0.751317
full-data,1.0,loss-prediction,9fb4ansn,5,motion_blur,0.816050,0.500000,0.816050
full-data,1.0,loss-prediction,9fb4ansn,5,pixelate,0.741810,0.500000,0.741810
full-data,1.0,loss-prediction,9fb4ansn,5,shot_noise,0.852609,0.500000,0.852609
full-data,1.0,loss-prediction,9fb4ansn,5,snow,0.731851,0.500000,0.731851
full-data,1.0,loss-prediction,9fb4ansn,5,zoom_blur,0.834125,0.500000,0.834125
full-data,1.0,het-xl,e6rpfaue,1,brightness,0.499403,0.501582,0.499413
full-data,1.0,het-xl,e6rpfaue,1,contrast,0.515227,0.512715,0.515223
full-data,1.0,het-xl,e6rpfaue,1,defocus_blur,0.514045,0.513832,0.514042
full-data,1.0,het-xl,e6rpfaue,1,elastic,0.660109,0.649451,0.660110
full-data,1.0,het-xl,e6rpfaue,1,fog,0.505629,0.505542,0.505621
full-data,1.0,het-xl,e6rpfaue,1,frost,0.582952,0.572175,0.582990
full-data,1.0,het-xl,e6rpfaue,1,frosted_glass_blur,0.826298,0.799975,0.826416
full-data,1.0,het-xl,e6rpfaue,1,gaussian_noise,0.722807,0.702228,0.722885
full-data,1.0,het-xl,e6rpfaue,1,impulse_noise,0.706811,0.686970,0.706866
full-data,1.0,het-xl,e6rpfaue,1,jpeg,0.693292,0.678584,0.693325
full-data,1.0,het-xl,e6rpfaue,1,motion_blur,0.632527,0.625649,0.632521
full-data,1.0,het-xl,e6rpfaue,1,pixelate,0.559068,0.552274,0.559101
full-data,1.0,het-xl,e6rpfaue,1,shot_noise,0.654361,0.637281,0.654416
full-data,1.0,het-xl,e6rpfaue,1,snow,0.605516,0.592825,0.605553
full-data,1.0,het-xl,e6rpfaue,1,zoom_blur,0.694964,0.689714,0.694952
full-data,1.0,het-xl,e6rpfaue,2,brightness,0.507201,0.508991,0.507206
full-data,1.0,het-xl,e6rpfaue,2,contrast,0.597783,0.588018,0.597773
full-data,1.0,het-xl,e6rpfaue,2,defocus_blur,0.576926,0.572063,0.576908
full-data,1.0,het-xl,e6rpfaue,2,elastic,0.666492,0.658748,0.666481
full-data,1.0,het-xl,e6rpfaue,2,fog,0.539572,0.533205,0.539571
full-data,1.0,het-xl,e6rpfaue,2,frost,0.649319,0.631500,0.649380
full-data,1.0,het-xl,e6rpfaue,2,frosted_glass_blur,0.823691,0.797277,0.823808
full-data,1.0,het-xl,e6rpfaue,2,gaussian_noise,0.809752,0.789093,0.809850
full-data,1.0,het-xl,e6rpfaue,2,impulse_noise,0.789492,0.768699,0.789575
full-data,1.0,het-xl,e6rpfaue,2,jpeg,0.769690,0.759020,0.769714
full-data,1.0,het-xl,e6rpfaue,2,motion_blur,0.723393,0.717902,0.723388
full-data,1.0,het-xl,e6rpfaue,2,pixelate,0.621370,0.604433,0.621424
full-data,1.0,het-xl,e6rpfaue,2,shot_noise,0.727648,0.706448,0.727727
full-data,1.0,het-xl,e6rpfaue,2,snow,0.708549,0.686404,0.708623
full-data,1.0,het-xl,e6rpfaue,2,zoom_blur,0.757435,0.754552,0.757431
full-data,1.0,het-xl,e6rpfaue,3,brightness,0.522790,0.521143,0.522799
full-data,1.0,het-xl,e6rpfaue,3,contrast,0.664968,0.657786,0.664963
full-data,1.0,het-xl,e6rpfaue,3,defocus_blur,0.709551,0.706632,0.709532
full-data,1.0,het-xl,e6rpfaue,3,elastic,0.741191,0.736522,0.741183
full-data,1.0,het-xl,e6rpfaue,3,fog,0.578705,0.567523,0.578705
full-data,1.0,het-xl,e6rpfaue,3,frost,0.719703,0.697645,0.719783
full-data,1.0,het-xl,e6rpfaue,3,frosted_glass_blur,0.817220,0.790979,0.817327
full-data,1.0,het-xl,e6rpfaue,3,gaussian_noise,0.846729,0.831561,0.846817
full-data,1.0,het-xl,e6rpfaue,3,impulse_noise,0.838910,0.819207,0.839001
full-data,1.0,het-xl,e6rpfaue,3,jpeg,0.790018,0.781871,0.790047
full-data,1.0,het-xl,e6rpfaue,3,motion_blur,0.789248,0.785992,0.789240
full-data,1.0,het-xl,e6rpfaue,3,pixelate,0.658579,0.641550,0.658652
full-data,1.0,het-xl,e6rpfaue,3,shot_noise,0.821220,0.803566,0.821311
full-data,1.0,het-xl,e6rpfaue,3,snow,0.687517,0.669570,0.687571
full-data,1.0,het-xl,e6rpfaue,3,zoom_blur,0.813007,0.813451,0.813001
full-data,1.0,het-xl,e6rpfaue,4,brightness,0.544642,0.539944,0.544655
full-data,1.0,het-xl,e6rpfaue,4,contrast,0.759067,0.755893,0.759041
full-data,1.0,het-xl,e6rpfaue,4,defocus_blur,0.807532,0.809003,0.807508
full-data,1.0,het-xl,e6rpfaue,4,elastic,0.787678,0.787566,0.787651
full-data,1.0,het-xl,e6rpfaue,4,fog,0.632494,0.620583,0.632491
full-data,1.0,het-xl,e6rpfaue,4,frost,0.727666,0.705237,0.727756
full-data,1.0,het-xl,e6rpfaue,4,frosted_glass_blur,0.852995,0.827024,0.853122
full-data,1.0,het-xl,e6rpfaue,4,gaussian_noise,0.858704,0.846800,0.858777
full-data,1.0,het-xl,e6rpfaue,4,impulse_noise,0.898603,0.887348,0.898678
full-data,1.0,het-xl,e6rpfaue,4,jpeg,0.810162,0.802480,0.810183
full-data,1.0,het-xl,e6rpfaue,4,motion_blur,0.789258,0.786618,0.789249
full-data,1.0,het-xl,e6rpfaue,4,pixelate,0.740038,0.717794,0.740143
full-data,1.0,het-xl,e6rpfaue,4,shot_noise,0.842375,0.827874,0.842460
full-data,1.0,het-xl,e6rpfaue,4,snow,0.704361,0.686070,0.704416
full-data,1.0,het-xl,e6rpfaue,4,zoom_blur,0.852963,0.854523,0.852949
full-data,1.0,het-xl,e6rpfaue,5,brightness,0.602018,0.590347,0.602046
full-data,1.0,het-xl,e6rpfaue,5,contrast,0.925063,0.934470,0.924961
full-data,1.0,het-xl,e6rpfaue,5,defocus_blur,0.907256,0.912603,0.907202
full-data,1.0,het-xl,e6rpfaue,5,elastic,0.798212,0.791600,0.798216
full-data,1.0,het-xl,e6rpfaue,5,fog,0.750314,0.746521,0.750312
full-data,1.0,het-xl,e6rpfaue,5,frost,0.776977,0.751820,0.777076
full-data,1.0,het-xl,e6rpfaue,5,frosted_glass_blur,0.849652,0.822650,0.849777
full-data,1.0,het-xl,e6rpfaue,5,gaussian_noise,0.869612,0.860598,0.869679
full-data,1.0,het-xl,e6rpfaue,5,impulse_noise,0.928540,0.923296,0.928587
full-data,1.0,het-xl,e6rpfaue,5,jpeg,0.835004,0.829466,0.835022
full-data,1.0,het-xl,e6rpfaue,5,motion_blur,0.836952,0.836941,0.836934
full-data,1.0,het-xl,e6rpfaue,5,pixelate,0.795442,0.770805,0.795564
full-data,1.0,het-xl,e6rpfaue,5,shot_noise,0.866237,0.856770,0.866306
full-data,1.0,het-xl,e6rpfaue,5,snow,0.740963,0.720328,0.741033
full-data,1.0,het-xl,e6rpfaue,5,zoom_blur,0.882600,0.885320,0.882576
full-data,1.0,sngp,jkzjb5vz,1,brightness,0.500286,0.499516,0.500286
full-data,1.0,sngp,jkzjb5vz,1,contrast,0.517618,0.512688,0.517643
full-data,1.0,sngp,jkzjb5vz,1,defocus_blur,0.505639,0.504617,0.505647
full-data,1.0,sngp,jkzjb5vz,1,elastic,0.637823,0.628807,0.637849
full-data,1.0,sngp,jkzjb5vz,1,fog,0.510263,0.507616,0.510279
full-data,1.0,sngp,jkzjb5vz,1,frost,0.616939,0.613086,0.616952
full-data,1.0,sngp,jkzjb5vz,1,frosted_glass_blur,0.886367,0.882035,0.886379
full-data,1.0,sngp,jkzjb5vz,1,gaussian_noise,0.757055,0.749921,0.757086
full-data,1.0,sngp,jkzjb5vz,1,impulse_noise,0.726769,0.737607,0.726695
full-data,1.0,sngp,jkzjb5vz,1,jpeg,0.685765,0.669861,0.685824
full-data,1.0,sngp,jkzjb5vz,1,motion_blur,0.620999,0.619163,0.621005
full-data,1.0,sngp,jkzjb5vz,1,pixelate,0.577695,0.571436,0.577722
full-data,1.0,sngp,jkzjb5vz,1,shot_noise,0.679256,0.674175,0.679276
full-data,1.0,sngp,jkzjb5vz,1,snow,0.602963,0.598526,0.602983
full-data,1.0,sngp,jkzjb5vz,1,zoom_blur,0.675408,0.669868,0.675432
full-data,1.0,sngp,jkzjb5vz,2,brightness,0.508480,0.507134,0.508490
full-data,1.0,sngp,jkzjb5vz,2,contrast,0.597518,0.583854,0.597571
full-data,1.0,sngp,jkzjb5vz,2,defocus_blur,0.547323,0.546047,0.547333
full-data,1.0,sngp,jkzjb5vz,2,elastic,0.639697,0.632020,0.639716
full-data,1.0,sngp,jkzjb5vz,2,fog,0.546009,0.537807,0.546043
full-data,1.0,sngp,jkzjb5vz,2,frost,0.691178,0.684834,0.691199
full-data,1.0,sngp,jkzjb5vz,2,frosted_glass_blur,0.880231,0.874098,0.880252
full-data,1.0,sngp,jkzjb5vz,2,gaussian_noise,0.857645,0.850498,0.857678
full-data,1.0,sngp,jkzjb5vz,2,impulse_noise,0.826936,0.842447,0.826785
full-data,1.0,sngp,jkzjb5vz,2,jpeg,0.756308,0.741659,0.756364
full-data,1.0,sngp,jkzjb5vz,2,motion_blur,0.721312,0.718751,0.721320
full-data,1.0,sngp,jkzjb5vz,2,pixelate,0.658130,0.651457,0.658160
full-data,1.0,sngp,jkzjb5vz,2,shot_noise,0.761505,0.753561,0.761535
full-data,1.0,sngp,jkzjb5vz,2,snow,0.731215,0.727745,0.731227
full-data,1.0,sngp,jkzjb5vz,2,zoom_blur,0.735481,0.735801,0.735463
full-data,1.0,sngp,jkzjb5vz,3,brightness,0.524271,0.522376,0.524287
full-data,1.0,sngp,jkzjb5vz,3,contrast,0.665206,0.648054,0.665266
full-data,1.0,sngp,jkzjb5vz,3,defocus_blur,0.671237,0.673975,0.671214
full-data,1.0,sngp,jkzjb5vz,3,elastic,0.712410,0.707004,0.712425
full-data,1.0,sngp,jkzjb5vz,3,fog,0.584773,0.571621,0.584818
full-data,1.0,sngp,jkzjb5vz,3,frost,0.770709,0.763984,0.770732
full-data,1.0,sngp,jkzjb5vz,3,frosted_glass_blur,0.873002,0.865278,0.873025
full-data,1.0,sngp,jkzjb5vz,3,gaussian_noise,0.908277,0.905541,0.908283
full-data,1.0,sngp,jkzjb5vz,3,impulse_noise,0.879291,0.894963,0.879131
full-data,1.0,sngp,jkzjb5vz,3,jpeg,0.776984,0.763231,0.777043
full-data,1.0,sngp,jkzjb5vz,3,motion_blur,0.798218,0.794819,0.798227
full-data,1.0,sngp,jkzjb5vz,3,pixelate,0.700422,0.693136,0.700451
full-data,1.0,sngp,jkzjb5vz,3,shot_noise,0.869905,0.862663,0.869940
full-data,1.0,sngp,jkzjb5vz,3,snow,0.693209,0.686866,0.693239
full-data,1.0,sngp,jkzjb5vz,3,zoom_blur,0.806855,0.812577,0.806792
full-data,1.0,sngp,jkzjb5vz,4,brightness,0.545756,0.541585,0.545771
full-data,1.0,sngp,jkzjb5vz,4,contrast,0.765541,0.748568,0.765608
full-data,1.0,sngp,jkzjb5vz,4,defocus_blur,0.794278,0.800034,0.794207
full-data,1.0,sngp,jkzjb5vz,4,elastic,0.766600,0.756344,0.766647
full-data,1.0,sngp,jkzjb5vz,4,fog,0.639330,0.623874,0.639381
full-data,1.0,sngp,jkzjb5vz,4,frost,0.781697,0.775681,0.781714
full-data,1.0,sngp,jkzjb5vz,4,frosted_glass_blur,0.909018,0.900766,0.909056
full-data,1.0,sngp,jkzjb5vz,4,gaussian_noise,0.923807,0.924050,0.923789
full-data,1.0,sngp,jkzjb5vz,4,impulse_noise,0.931934,0.946955,0.931765
full-data,1.0,sngp,jkzjb5vz,4,jpeg,0.797765,0.784301,0.797824
full-data,1.0,sngp,jkzjb5vz,4,motion_blur,0.798214,0.794860,0.798222
full-data,1.0,sngp,jkzjb5vz,4,pixelate,0.775035,0.774891,0.775027
full-data,1.0,sngp,jkzjb5vz,4,shot_noise,0.896915,0.891706,0.896935
full-data,1.0,sngp,jkzjb5vz,4,snow,0.715858,0.709790,0.715889
full-data,1.0,sngp,jkzjb5vz,4,zoom_blur,0.856252,0.866970,0.856118
full-data,1.0,sngp,jkzjb5vz,5,brightness,0.602015,0.594431,0.602044
full-data,1.0,sngp,jkzjb5vz,5,contrast,0.938949,0.927666,0.939003
full-data,1.0,sngp,jkzjb5vz,5,defocus_blur,0.928545,0.944992,0.928123
full-data,1.0,sngp,jkzjb5vz,5,elastic,0.801981,0.787632,0.802043
full-data,1.0,sngp,jkzjb5vz,5,fog,0.782267,0.769160,0.782319
full-data,1.0,sngp,jkzjb5vz,5,frost,0.834815,0.830578,0.834821
full-data,1.0,sngp,jkzjb5vz,5,frosted_glass_blur,0.903295,0.892682,0.903342
full-data,1.0,sngp,jkzjb5vz,5,gaussian_noise,0.935462,0.938908,0.935413
full-data,1.0,sngp,jkzjb5vz,5,impulse_noise,0.957405,0.972609,0.957184
full-data,1.0,sngp,jkzjb5vz,5,jpeg,0.821721,0.809740,0.821774
full-data,1.0,sngp,jkzjb5vz,5,motion_blur,0.851125,0.846783,0.851139
full-data,1.0,sngp,jkzjb5vz,5,pixelate,0.818991,0.823235,0.818949
full-data,1.0,sngp,jkzjb5vz,5,shot_noise,0.927645,0.927187,0.927627
full-data,1.0,sngp,jkzjb5vz,5,snow,0.768800,0.764429,0.768811
full-data,1.0,sngp,jkzjb5vz,5,zoom_blur,0.897118,0.911692,0.896896
full-data,1.0,shallow-ensemble,k6scvi1c,1,brightness,0.498961,0.491910,0.498961
full-data,1.0,shallow-ensemble,k6scvi1c,1,contrast,0.501907,0.494622,0.501906
full-data,1.0,shallow-ensemble,k6scvi1c,1,defocus_blur,0.503318,0.495037,0.503318
full-data,1.0,shallow-ensemble,k6scvi1c,1,elastic,0.601369,0.559529,0.601369
full-data,1.0,shallow-ensemble,k6scvi1c,1,fog,0.499592,0.491981,0.499593
full-data,1.0,shallow-ensemble,k6scvi1c,1,frost,0.571797,0.541874,0.571797
full-data,1.0,shallow-ensemble,k6scvi1c,1,frosted_glass_blur,0.829940,0.764566,0.829940
full-data,1.0,shallow-ensemble,k6scvi1c,1,gaussian_noise,0.686997,0.633557,0.686997
full-data,1.0,shallow-ensemble,k6scvi1c,1,impulse_noise,0.660453,0.645649,0.660453
full-data,1.0,shallow-ensemble,k6scvi1c,1,jpeg,0.639690,0.583941,0.639690
full-data,1.0,shallow-ensemble,k6scvi1c,1,motion_blur,0.584865,0.552316,0.584865
full-data,1.0,shallow-ensemble,k6scvi1c,1,pixelate,0.546347,0.526294,0.546347
full-data,1.0,shallow-ensemble,k6scvi1c,1,shot_noise,0.623665,0.572871,0.623666
full-data,1.0,shallow-ensemble,k6scvi1c,1,snow,0.559433,0.539578,0.559433
full-data,1.0,shallow-ensemble,k6scvi1c,1,zoom_blur,0.623565,0.578876,0.623565
full-data,1.0,shallow-ensemble,k6scvi1c,2,brightness,0.503314,0.503748,0.503315
full-data,1.0,shallow-ensemble,k6scvi1c,2,contrast,0.550977,0.523020,0.550975
full-data,1.0,shallow-ensemble,k6scvi1c,2,defocus_blur,0.527606,0.507780,0.527606
full-data,1.0,shallow-ensemble,k6scvi1c,2,elastic,0.602269,0.553667,0.602269
full-data,1.0,shallow-ensemble,k6scvi1c,2,fog,0.515927,0.506180,0.515927
full-data,1.0,shallow-ensemble,k6scvi1c,2,frost,0.632954,0.583109,0.632954
full-data,1.0,shallow-ensemble,k6scvi1c,2,frosted_glass_blur,0.821775,0.761718,0.821775
full-data,1.0,shallow-ensemble,k6scvi1c,2,gaussian_noise,0.787066,0.718279,0.787066
full-data,1.0,shallow-ensemble,k6scvi1c,2,impulse_noise,0.748446,0.738478,0.748446
full-data,1.0,shallow-ensemble,k6scvi1c,2,jpeg,0.714347,0.641409,0.714347
full-data,1.0,shallow-ensemble,k6scvi1c,2,motion_blur,0.661807,0.603734,0.661807
full-data,1.0,shallow-ensemble,k6scvi1c,2,pixelate,0.634437,0.579702,0.634437
full-data,1.0,shallow-ensemble,k6scvi1c,2,shot_noise,0.701881,0.636200,0.701881
full-data,1.0,shallow-ensemble,k6scvi1c,2,snow,0.664049,0.602265,0.664050
full-data,1.0,shallow-ensemble,k6scvi1c,2,zoom_blur,0.680196,0.612066,0.680196
full-data,1.0,shallow-ensemble,k6scvi1c,3,brightness,0.512640,0.503752,0.512641
full-data,1.0,shallow-ensemble,k6scvi1c,3,contrast,0.602266,0.552680,0.602267
full-data,1.0,shallow-ensemble,k6scvi1c,3,defocus_blur,0.609570,0.561750,0.609570
full-data,1.0,shallow-ensemble,k6scvi1c,3,elastic,0.658189,0.600248,0.658189
full-data,1.0,shallow-ensemble,k6scvi1c,3,fog,0.541274,0.522897,0.541274
full-data,1.0,shallow-ensemble,k6scvi1c,3,frost,0.708254,0.642599,0.708254
full-data,1.0,shallow-ensemble,k6scvi1c,3,frosted_glass_blur,0.820541,0.746514,0.820541
full-data,1.0,shallow-ensemble,k6scvi1c,3,gaussian_noise,0.841782,0.776200,0.841782
full-data,1.0,shallow-ensemble,k6scvi1c,3,impulse_noise,0.812452,0.801422,0.812452
full-data,1.0,shallow-ensemble,k6scvi1c,3,jpeg,0.742948,0.661809,0.742948
full-data,1.0,shallow-ensemble,k6scvi1c,3,motion_blur,0.730404,0.665437,0.730405
full-data,1.0,shallow-ensemble,k6scvi1c,3,pixelate,0.674843,0.610447,0.674843
full-data,1.0,shallow-ensemble,k6scvi1c,3,shot_noise,0.803503,0.725976,0.803503
full-data,1.0,shallow-ensemble,k6scvi1c,3,snow,0.637891,0.583784,0.637892
full-data,1.0,shallow-ensemble,k6scvi1c,3,zoom_blur,0.747632,0.680453,0.747632
full-data,1.0,shallow-ensemble,k6scvi1c,4,brightness,0.527804,0.515505,0.527804
full-data,1.0,shallow-ensemble,k6scvi1c,4,contrast,0.686715,0.612929,0.686714
full-data,1.0,shallow-ensemble,k6scvi1c,4,defocus_blur,0.728241,0.658610,0.728241
full-data,1.0,shallow-ensemble,k6scvi1c,4,elastic,0.730863,0.672578,0.730863
full-data,1.0,shallow-ensemble,k6scvi1c,4,fog,0.586557,0.549349,0.586557
full-data,1.0,shallow-ensemble,k6scvi1c,4,frost,0.719768,0.648288,0.719768
full-data,1.0,shallow-ensemble,k6scvi1c,4,frosted_glass_blur,0.864613,0.802673,0.864613
full-data,1.0,shallow-ensemble,k6scvi1c,4,gaussian_noise,0.861559,0.797396,0.861559
full-data,1.0,shallow-ensemble,k6scvi1c,4,impulse_noise,0.899293,0.886162,0.899292
full-data,1.0,shallow-ensemble,k6scvi1c,4,jpeg,0.769387,0.691540,0.769387
full-data,1.0,shallow-ensemble,k6scvi1c,4,motion_blur,0.730404,0.665437,0.730405
full-data,1.0,shallow-ensemble,k6scvi1c,4,pixelate,0.755779,0.677599,0.755780
full-data,1.0,shallow-ensemble,k6scvi1c,4,shot_noise,0.835875,0.767105,0.835875
full-data,1.0,shallow-ensemble,k6scvi1c,4,snow,0.661296,0.606890,0.661296
full-data,1.0,shallow-ensemble,k6scvi1c,4,zoom_blur,0.800289,0.731790,0.800289
full-data,1.0,shallow-ensemble,k6scvi1c,5,brightness,0.569432,0.536356,0.569433
full-data,1.0,shallow-ensemble,k6scvi1c,5,contrast,0.889764,0.825594,0.889764
full-data,1.0,shallow-ensemble,k6scvi1c,5,defocus_blur,0.892322,0.841793,0.892322
full-data,1.0,shallow-ensemble,k6scvi1c,5,elastic,0.774219,0.700651,0.774220
full-data,1.0,shallow-ensemble,k6scvi1c,5,fog,0.729089,0.658228,0.729090
full-data,1.0,shallow-ensemble,k6scvi1c,5,frost,0.775152,0.699676,0.775152
full-data,1.0,shallow-ensemble,k6scvi1c,5,frosted_glass_blur,0.863932,0.790473,0.863932
full-data,1.0,shallow-ensemble,k6scvi1c,5,gaussian_noise,0.879159,0.816862,0.879159
full-data,1.0,shallow-ensemble,k6scvi1c,5,impulse_noise,0.940976,0.925608,0.940976
full-data,1.0,shallow-ensemble,k6scvi1c,5,jpeg,0.795296,0.715197,0.795297
full-data,1.0,shallow-ensemble,k6scvi1c,5,motion_blur,0.785016,0.712917,0.785017
full-data,1.0,shallow-ensemble,k6scvi1c,5,pixelate,0.824784,0.736661,0.824784
full-data,1.0,shallow-ensemble,k6scvi1c,5,shot_noise,0.871143,0.811258,0.871143
full-data,1.0,shallow-ensemble,k6scvi1c,5,snow,0.709645,0.636503,0.709646
full-data,1.0,shallow-ensemble,k6scvi1c,5,zoom_blur,0.855859,0.803841,0.855859
full-data,1.0,het-xl,olapo0kg,1,brightness,0.497517,0.497414,0.497520
full-data,1.0,het-xl,olapo0kg,1,contrast,0.506335,0.506331,0.506336
full-data,1.0,het-xl,olapo0kg,1,defocus_blur,0.506371,0.506475,0.506368
full-data,1.0,het-xl,olapo0kg,1,elastic,0.600064,0.600050,0.600067
full-data,1.0,het-xl,olapo0kg,1,fog,0.500915,0.500967,0.500917
full-data,1.0,het-xl,olapo0kg,1,frost,0.569252,0.568951,0.569260
full-data,1.0,het-xl,olapo0kg,1,frosted_glass_blur,0.821357,0.819423,0.821402
full-data,1.0,het-xl,olapo0kg,1,gaussian_noise,0.674987,0.674556,0.675003
full-data,1.0,het-xl,olapo0kg,1,impulse_noise,0.609957,0.608482,0.609983
full-data,1.0,het-xl,olapo0kg,1,jpeg,0.616549,0.615956,0.616561
full-data,1.0,het-xl,olapo0kg,1,motion_blur,0.587933,0.588582,0.587925
full-data,1.0,het-xl,olapo0kg,1,pixelate,0.541607,0.540795,0.541617
full-data,1.0,het-xl,olapo0kg,1,shot_noise,0.614700,0.614615,0.614705
full-data,1.0,het-xl,olapo0kg,1,snow,0.554497,0.553794,0.554508
full-data,1.0,het-xl,olapo0kg,1,zoom_blur,0.644017,0.644596,0.644019
full-data,1.0,het-xl,olapo0kg,2,brightness,0.499140,0.498938,0.499142
full-data,1.0,het-xl,olapo0kg,2,contrast,0.556740,0.556645,0.556740
full-data,1.0,het-xl,olapo0kg,2,defocus_blur,0.536362,0.536611,0.536360
full-data,1.0,het-xl,olapo0kg,2,elastic,0.603249,0.603389,0.603251
full-data,1.0,het-xl,olapo0kg,2,fog,0.520680,0.520745,0.520681
full-data,1.0,het-xl,olapo0kg,2,frost,0.627471,0.626666,0.627484
full-data,1.0,het-xl,olapo0kg,2,frosted_glass_blur,0.814341,0.812346,0.814389
full-data,1.0,het-xl,olapo0kg,2,gaussian_noise,0.775096,0.774509,0.775112
full-data,1.0,het-xl,olapo0kg,2,impulse_noise,0.705073,0.702874,0.705117
full-data,1.0,het-xl,olapo0kg,2,jpeg,0.683669,0.682700,0.683690
full-data,1.0,het-xl,olapo0kg,2,motion_blur,0.674923,0.675341,0.674924
full-data,1.0,het-xl,olapo0kg,2,pixelate,0.619686,0.617777,0.619717
full-data,1.0,het-xl,olapo0kg,2,shot_noise,0.687175,0.686633,0.687189
full-data,1.0,het-xl,olapo0kg,2,snow,0.659499,0.658740,0.659514
full-data,1.0,het-xl,olapo0kg,2,zoom_blur,0.705974,0.706023,0.705987
full-data,1.0,het-xl,olapo0kg,3,brightness,0.506150,0.505766,0.506154
full-data,1.0,het-xl,olapo0kg,3,contrast,0.610758,0.610535,0.610764
