paper_method,au_100,eu_100,dAU_50,dEU_50,margin_50,dAU_10,dEU_10,margin_10
EDL,0.716,0.083,0.15300000000000002,0.022999999999999993,-0.13000000000000003,0.9850000000000001,0.21299999999999997,-0.7720000000000001
HET,0.088,0.001,0.020000000000000004,0.0,-0.020000000000000004,0.11200000000000002,0.003,-0.10900000000000001
HET-XL,0.079,0.004,0.024999999999999994,0.003,-0.021999999999999995,0.135,0.01,-0.125
HetClassNN,0.08,0.034,0.0020000000000000018,0.012999999999999998,0.010999999999999996,0.104,0.075,-0.028999999999999998
PostNet,0.118,0.001,-0.008999999999999994,0.0,-0.008999999999999994,0.362,0.007,-0.355
Shallow,0.076,0.0,0.017,0.0,-0.017,0.15200000000000002,0.001,-0.15100000000000002
SNGP,0.058,0.0,0.024,0.001,-0.023,0.14300000000000002,0.016,-0.127
