paper_method,compare_to_run,au_100,eu_100,au_50,eu_50,au_10,eu_10
EDL,5lhhpt1y,0.716,0.083,0.869,0.106,1.701,0.296
HET,e6rpfaue,0.088,0.001,0.108,0.001,0.200,0.004
HET-XL,olapo0kg,0.079,0.004,0.104,0.007,0.214,0.014
HetClassNN,pb3a6oru,0.080,0.034,0.082,0.047,0.184,0.109
PostNet,8ugac5sn,0.118,0.001,0.109,0.001,0.480,0.008
Shallow,k6scvi1c,0.076,0.000,0.093,0.000,0.228,0.001
SNGP,1692idyk / jkzjb5vz,0.058,0.000,0.082,0.001,0.201,0.016
