method,parameter_source,decomposition,scarce_fraction,full_mean_aleatoric,scarce_mean_aleatoric,aleatoric_scarcity_shift,full_mean_epistemic,scarce_mean_epistemic,epistemic_scarcity_shift,full_spearman_aleatoric_label_entropy,scarce_spearman_aleatoric_label_entropy,full_spearman_epistemic_label_entropy,scarce_spearman_epistemic_label_entropy,scarcity_specialization_margin
duq,transferred-cifar-config-extra,information-theoretic,0.1,0.3426556885,0.6251785159,0.2825228274,0,0,0,0.1939211047,0.1273907691,,,-0.2825228274
edl,transferred-cifar-config,bregman-estimated,0.5,0.2526060641,0.4198484123,0.1672423482,0.04897075891,0.1364782006,0.08750744164,0.2358073914,0.2108435382,0.2347380942,0.2122539123,-0.07973490655
edl,transferred-cifar-config,bregman-estimated,0.1,0.2526060641,0.3247703016,0.0721642375,0.04897075891,0.08192618191,0.032955423,0.2358073914,0.1690515063,0.2347380942,0.172658542,-0.0392088145
edl,transferred-cifar-config,information-theoretic,0.5,0.2526060641,0.4198484123,0.1672423482,0.04119374231,0.1020203233,0.06082658097,0.2358073914,0.2108435382,0.2365156018,0.2154615984,-0.1064157672
edl,transferred-cifar-config,information-theoretic,0.1,0.2526060641,0.3247703016,0.0721642375,0.04119374231,0.06450591981,0.02331217751,0.2358073914,0.1690515063,0.2365156018,0.1751010908,-0.04885205999
fast-deep-ensemble,transferred-cifar-config-extra,bregman-estimated,0.5,0.1994653791,0.2379640937,0.03849871457,0.2251733094,0.1500386596,-0.07513464987,0.1409309333,0.1504785001,0.1566828001,0.1239280955,-0.1136333644
fast-deep-ensemble,transferred-cifar-config-extra,bregman-estimated,0.1,0.1994653791,0.3125378489,0.1130724698,0.2251733094,0.1669686288,-0.05820468068,0.1409309333,0.1154713541,0.1566828001,0.1643309434,-0.1712771505
fast-deep-ensemble,transferred-cifar-config-extra,information-theoretic,0.5,0.1994653791,0.2379640937,0.03849871457,0.09574961662,0.09362259507,-0.002127021551,0.1409309333,0.1504785001,0.1711440606,0.1281709067,-0.04062573612
fast-deep-ensemble,transferred-cifar-config-extra,information-theoretic,0.1,0.1994653791,0.3125378489,0.1130724698,0.09574961662,0.1353601664,0.03961054981,0.1409309333,0.1154713541,0.1711440606,0.1782006119,-0.07346192002
het-xl-e6rpfaue,transferred-cifar-config,bregman-estimated,0.5,0.07034810632,0.05795102939,-0.01239707693,0.02075629123,0.05282524601,0.03206895478,0.2170736695,0.1546117939,0.2167215205,0.157921045,0.01967187785
het-xl-e6rpfaue,transferred-cifar-config,bregman-estimated,0.1,0.07034810632,0.09995097667,0.02960287035,0.02075629123,0.5281078815,0.5073515903,0.2170736695,0.1050946355,0.2167215205,0.09628906043,0.47774872
het-xl-e6rpfaue,transferred-cifar-config,information-theoretic,0.5,0.07034810632,0.05795102939,-0.01239707693,0.01717853919,0.04135971516,0.02418117598,0.2170736695,0.1546117939,0.2180330713,0.1588882534,0.01178409904
het-xl-e6rpfaue,transferred-cifar-config,information-theoretic,0.1,0.07034810632,0.09995097667,0.02960287035,0.01717853919,0.2118499279,0.1946713887,0.2170736695,0.1050946355,0.2180330713,0.09789667554,0.1650685184
het-xl-olapo0kg,transferred-cifar-config,bregman-estimated,0.5,0.07650663704,0.0458862707,-0.03062036633,0.2783195674,0.1371915936,-0.1411279738,0.1305156536,0.0845054283,0.1534001266,0.0809932839,-0.1717483401
het-xl-olapo0kg,transferred-cifar-config,bregman-estimated,0.1,0.07650663704,0.1358639449,0.05935730785,0.2783195674,0.8911622167,0.6128426492,0.1305156536,0.1252632301,0.1534001266,0.07985942191,0.5534853414
het-xl-olapo0kg,transferred-cifar-config,information-theoretic,0.5,0.07650663704,0.0458862707,-0.03062036633,0.1446451545,0.09321174026,-0.05143341422,0.1305156536,0.0845054283,0.1518341884,0.08639268544,-0.08205378056
het-xl-olapo0kg,transferred-cifar-config,information-theoretic,0.1,0.07650663704,0.1358639449,0.05935730785,0.1446451545,0.2902001739,0.1455550194,0.1305156536,0.1252632301,0.1518341884,0.07800152989,0.08619771153
hetclassnn,transferred-cifar-config,bregman-estimated,0.5,0.4032416642,0.2320746034,-0.1711670607,0.02241639048,0.02085924149,-0.001557148993,0.1108608523,0.1335577507,0.171569852,0.1785138874,-0.1727242097
hetclassnn,transferred-cifar-config,bregman-estimated,0.1,0.4032416642,0.3496925831,-0.05354908109,0.02241639048,0.06287570298,0.0404593125,0.1108608523,0.1850131059,0.171569852,0.1289655416,-0.01308976859
hetclassnn,transferred-cifar-config,information-theoretic,0.5,0.4032416642,0.2320746034,-0.1711670607,0.02145221271,0.01962420531,-0.0018280074,0.1108608523,0.1335577507,0.1566251975,0.1760797116,-0.1729950681
hetclassnn,transferred-cifar-config,information-theoretic,0.1,0.4032416642,0.3496925831,-0.05354908109,0.02145221271,0.05552894995,0.03407673724,0.1108608523,0.1850131059,0.1566251975,0.1202610764,-0.01947234385
laplace,posthoc,bregman-estimated,0.5,0.2960919738,0.3291498125,0.03305783868,0.01246827003,0.0239149034,0.01144663338,0.1357023321,0.1355981254,0.1175424266,0.114803548,-0.0216112053
laplace,posthoc,bregman-estimated,0.1,0.2960919738,0.2255705595,-0.07052141428,0.01246827003,0.1267880797,0.1143198097,0.1357023321,0.07652044483,0.1175424266,0.06067936217,0.04379839543
laplace,posthoc,information-theoretic,0.5,0.2960919738,0.3291498125,0.03305783868,0.01206465159,0.02279274166,0.01072809007,0.1357023321,0.1355981254,0.1168273606,0.11336239,-0.02232974861
laplace,posthoc,information-theoretic,0.1,0.2960919738,0.2255705595,-0.07052141428,0.01206465159,0.08948568255,0.07742103096,0.1357023321,0.07652044483,0.1168273606,0.05801963482,0.006899616681
loss-prediction,transferred-cifar-config,bregman-estimated,0.5,0.1834730208,0.2530699968,0.06959697604,5.382095811e-12,-1.625994062e-10,-1.67981502e-10,0.1319267703,0.1393630657,,,-0.06959697621
loss-prediction,transferred-cifar-config,bregman-estimated,0.1,0.1834730208,0.4792432487,0.2957702279,5.382095811e-12,-8.437076593e-10,-8.490897551e-10,0.1319267703,0.1510710999,,,-0.2957702288
loss-prediction,transferred-cifar-config,information-theoretic,0.5,0.1834730208,0.2530699968,0.06959697604,0,0,0,0.1319267703,0.1393630657,,,-0.06959697604
loss-prediction,transferred-cifar-config,information-theoretic,0.1,0.1834730208,0.4792432487,0.2957702279,0,0,0,0.1319267703,0.1510710999,,,-0.2957702279
mc-dropout,transferred-cifar-config,bregman-estimated,0.5,0.2541011274,0.1819912046,-0.07210992277,0.001406427124,0.002088759094,0.0006823319709,0.1086078474,0.1149247678,0.1654319528,0.1182352815,-0.0714275908
mc-dropout,transferred-cifar-config,bregman-estimated,0.1,0.2541011274,0.3617651165,0.1076639891,0.001406427124,0.001484598848,7.817172445e-05,0.1086078474,0.1458691388,0.1654319528,0.128356499,-0.1075858173
mc-dropout,transferred-cifar-config,information-theoretic,0.5,0.2541011274,0.1819912046,-0.07210992277,0.001403390779,0.002082057763,0.0006786669837,0.1086078474,0.1149247678,0.1655443677,0.1179627674,-0.07143125578
mc-dropout,transferred-cifar-config,information-theoretic,0.1,0.2541011274,0.3617651165,0.1076639891,0.001403390779,0.001481624087,7.823330816e-05,0.1086078474,0.1458691388,0.1655443677,0.127333355,-0.1075857558
postnet,transferred-cifar-config,bregman-estimated,0.5,0.1686228067,0.3212056756,0.1525828689,0.0009431230137,0.006848289166,0.005905166152,0.2170141304,0.06831779885,0.09458202463,0.02541193471,-0.1466777028
postnet,transferred-cifar-config,bregman-estimated,0.1,0.1686228067,0.2870791256,0.118456319,0.0009431230137,0.003200511914,0.0022573889,0.2170141304,0.1340898301,0.09458202463,0.0523209266,-0.1161989301
postnet,transferred-cifar-config,information-theoretic,0.5,0.1686228067,0.3212056756,0.1525828689,0.0008356660837,0.005803583656,0.004967917572,0.2170141304,0.06831779885,0.0969669451,0.02738047807,-0.1476149514
postnet,transferred-cifar-config,information-theoretic,0.1,0.1686228067,0.2870791256,0.118456319,0.0008356660837,0.002772906562,0.001937240479,0.2170141304,0.1340898301,0.0969669451,0.05289384849,-0.1165190785
shallow-ensemble,transferred-cifar-config,bregman-estimated,0.5,0.1362996101,0.1683998108,0.03210020065,0.006505479105,0.6358729005,0.6293674214,0.2210316875,0.2242426887,0.2129467142,-0.1704650363,0.5972672207
shallow-ensemble,transferred-cifar-config,bregman-estimated,0.1,0.1362996101,0.1627424657,0.0264428556,0.006505479105,0.0004048723495,-0.006100606755,0.2210316875,0.05252925381,0.2129467142,0.06705694219,-0.03254346235
shallow-ensemble,transferred-cifar-config,information-theoretic,0.5,0.1362996101,0.1683998108,0.03210020065,0.006753737573,0.2548868358,0.2481330982,0.2210316875,0.2242426887,0.2116293749,-0.2216466981,0.2160328976
