phase,train_fraction,method,parameter_source,decomposition,num_samples,num_finite_samples,mean_aleatoric,mean_epistemic,std_aleatoric,std_epistemic,pearson_aleatoric_label_entropy,spearman_aleatoric_label_entropy,pearson_epistemic_label_entropy,spearman_epistemic_label_entropy,spearman_aleatoric_vote_disagreement,spearman_epistemic_vote_disagreement
scarce-50pct,0.5,mc-dropout,transferred-cifar-config,information-theoretic,977,977,0.1819912046,0.002082057763,0.2203860283,0.003332121065,-0.03662802328,0.1149247678,-0.002890915057,0.1179627674,0.07072538781,0.07392488475
scarce-50pct,0.5,mc-dropout,transferred-cifar-config,bregman-estimated,977,977,0.1819912046,0.002088759094,0.2203860283,0.003396764398,-0.03662802328,0.1149247678,-0.002029844771,0.1182352815,0.07072538781,0.07431154325
scarce-50pct,0.5,sngp-1692idyk,transferred-cifar-config,information-theoretic,977,977,0.2722140551,0.04536760598,0.2165139616,0.04930892214,0.1263994271,0.1792884074,0.09849630109,0.1697918936,0.147888978,0.133258949
scarce-50pct,0.5,sngp-1692idyk,transferred-cifar-config,bregman-estimated,977,977,0.2722140551,0.0564937219,0.2165139616,0.1611178219,0.1263994271,0.1792884074,0.04767812388,0.1728816479,0.147888978,0.1365975783
scarce-50pct,0.5,edl,transferred-cifar-config,information-theoretic,977,977,0.4198484123,0.1020203233,0.1128434762,0.04822710156,0.1804973308,0.2108435382,0.1747373455,0.2154615984,0.1819532907,0.1859088252
scarce-50pct,0.5,edl,transferred-cifar-config,bregman-estimated,977,977,0.4198484123,0.1364782006,0.1128434762,0.07465915382,0.1804973308,0.2108435382,0.1666002055,0.2122539123,0.1819532907,0.1822037108
scarce-50pct,0.5,ddu,transferred-cifar-config,information-theoretic,977,977,0.5527040958,0,0.1662158221,0,0.1310114526,0.1444419638,,,0.094700024,
scarce-50pct,0.5,ddu,transferred-cifar-config,bregman-estimated,977,977,0.5527040958,-1.864358529e-10,0.1662158221,1.897251067e-08,0.1310114526,0.1444419638,,,0.094700024,
scarce-50pct,0.5,postnet,transferred-cifar-config,information-theoretic,977,977,0.3212056756,0.005803583656,0.2145240456,0.0187580213,0.003325244769,0.06831779885,-0.05022657015,0.02738047807,0.02834550538,0.00390200808
scarce-50pct,0.5,postnet,transferred-cifar-config,bregman-estimated,977,977,0.3212056756,0.006848289166,0.2145240456,0.02659022249,0.003325244769,0.06831779885,-0.05087307891,0.02541193471,0.02834550538,0.001703260521
scarce-50pct,0.5,loss-prediction,transferred-cifar-config,information-theoretic,977,977,0.2530699968,0,0.2534460127,0,0.007747175881,0.1393630657,,,0.08893889941,
scarce-50pct,0.5,loss-prediction,transferred-cifar-config,bregman-estimated,977,977,0.2530699968,-1.625994062e-10,0.2534460127,1.126284932e-08,0.007747175881,0.1393630657,,,0.08893889941,
scarce-50pct,0.5,het-xl-e6rpfaue,transferred-cifar-config,information-theoretic,977,977,0.05795102939,0.04135971516,0.113579236,0.07685726881,-0.0407887492,0.1546117939,-0.01319660217,0.1588882534,0.1123748736,0.1174359527
scarce-50pct,0.5,het-xl-e6rpfaue,transferred-cifar-config,bregman-estimated,977,977,0.05795102939,0.05282524601,0.113579236,0.1345947087,-0.0407887492,0.1546117939,-0.02426812736,0.157921045,0.1123748736,0.1162873575
scarce-50pct,0.5,sngp-jkzjb5vz,transferred-cifar-config,information-theoretic,977,977,0.0515390262,0.005767566152,0.1210328564,0.01714811474,0.01500953545,0.1273178731,0.02549983084,0.1093882672,0.09115570352,0.07455370229
scarce-50pct,0.5,sngp-jkzjb5vz,transferred-cifar-config,bregman-estimated,977,977,0.0515390262,0.005882999394,0.1210328564,0.01983004995,0.01500953545,0.1273178731,0.03129138847,0.1178270842,0.09115570352,0.08225531884
scarce-50pct,0.5,shallow-ensemble,transferred-cifar-config,information-theoretic,977,977,0.1683998108,0.2548868358,0.193360135,0.06955801696,0.134530275,0.2242426887,-0.1434118646,-0.2216466981,0.1885346592,-0.1854125214
scarce-50pct,0.5,shallow-ensemble,transferred-cifar-config,bregman-estimated,977,977,0.1683998108,0.6358729005,0.193360135,0.2331127971,0.134530275,0.2242426887,-0.1204357874,-0.1704650363,0.1885346592,-0.1297417498
scarce-50pct,0.5,het-xl-olapo0kg,transferred-cifar-config,information-theoretic,977,977,0.0458862707,0.09321174026,0.06418702751,0.1111542806,-0.04846898906,0.0845054283,-0.02793799502,0.08639268544,0.03650034158,0.03863291967
scarce-50pct,0.5,het-xl-olapo0kg,transferred-cifar-config,bregman-estimated,977,977,0.0458862707,0.1371915936,0.06418702751,0.2919169366,-0.04846898906,0.0845054283,-0.0351801495,0.0809932839,0.03650034158,0.0345249059
scarce-50pct,0.5,hetclassnn,transferred-cifar-config,information-theoretic,977,977,0.2320746034,0.01962420531,0.2388396859,0.02028764039,0.00994287571,0.1335577507,0.09680766393,0.1760797116,0.08726054288,0.14440957
scarce-50pct,0.5,hetclassnn,transferred-cifar-config,bregman-estimated,977,977,0.2320746034,0.02085924149,0.2388396859,0.02548319288,0.00994287571,0.1335577507,0.07954598899,0.1785138874,0.08726054288,0.1437181232
scarce-10pct,0.1,ce-baseline,transferred-cifar-config,information-theoretic,977,977,0.5320232511,0,0.2183947712,0,0.1195465397,0.1411973713,,,0.1130293225,
scarce-10pct,0.1,ce-baseline,transferred-cifar-config,bregman-estimated,977,977,0.5320232511,-2.209104982e-10,0.2183947712,1.742554545e-08,0.1195465397,0.1411973713,,,0.1130293225,
scarce-10pct,0.1,mc-dropout,transferred-cifar-config,information-theoretic,977,977,0.3617651165,0.001481624087,0.2613340616,0.001792705152,0.08376798182,0.1458691388,0.04013686868,0.127333355,0.1078666338,0.09902678054
scarce-10pct,0.1,mc-dropout,transferred-cifar-config,bregman-estimated,977,977,0.3617651165,0.001484598848,0.2613340616,0.001808183384,0.08376798182,0.1458691388,0.04128699391,0.128356499,0.1078666338,0.09991994729
scarce-10pct,0.1,sngp-1692idyk,transferred-cifar-config,information-theoretic,977,977,0.3100883961,0.07502605766,0.2068856508,0.08863414079,0.1304615549,0.1788367323,0.1057405641,0.1718392427,0.1486387646,0.1524630992
scarce-10pct,0.1,sngp-1692idyk,transferred-cifar-config,bregman-estimated,977,977,0.3100883961,0.1302473694,0.2068856508,0.4196024835,0.1304615549,0.1788367323,0.06154278398,0.1763152311,0.1486387646,0.1569649003
scarce-10pct,0.1,edl,transferred-cifar-config,information-theoretic,977,977,0.3247703016,0.06450591981,0.1196220443,0.04674082249,0.09579221425,0.1690515063,0.06685538201,0.1751010908,0.1321355619,0.138683886
scarce-10pct,0.1,edl,transferred-cifar-config,bregman-estimated,977,977,0.3247703016,0.08192618191,0.1196220443,0.070524849,0.09579221425,0.1690515063,0.06006047111,0.172658542,0.1321355619,0.1363662264
scarce-10pct,0.1,ddu,transferred-cifar-config,information-theoretic,977,977,0.532631278,0,0.07895702869,0,0.09481331902,0.1341330991,,,0.09675084198,
scarce-10pct,0.1,ddu,transferred-cifar-config,bregman-estimated,977,977,0.532631278,-2.07800957e-10,0.07895702869,1.534275995e-08,0.09481331902,0.1341330991,,,0.09675084198,
scarce-10pct,0.1,postnet,transferred-cifar-config,information-theoretic,977,977,0.2870791256,0.002772906562,0.2207297087,0.01189921331,0.1035996839,0.1340898301,-0.06585371078,0.05289384849,0.1186503994,0.0446523441
scarce-10pct,0.1,postnet,transferred-cifar-config,bregman-estimated,977,977,0.2870791256,0.003200511914,0.2207297087,0.01757094078,0.1035996839,0.1340898301,-0.06274039696,0.0523209266,0.1186503994,0.04407612132
scarce-10pct,0.1,loss-prediction,transferred-cifar-config,information-theoretic,977,977,0.4792432487,0,0.1760533899,0,0.1521847134,0.1510710999,,,0.1437506534,
scarce-10pct,0.1,loss-prediction,transferred-cifar-config,bregman-estimated,977,977,0.4792432487,-8.437076593e-10,0.1760533899,1.557029528e-08,0.1521847134,0.1510710999,,,0.1437506534,
scarce-10pct,0.1,het-xl-e6rpfaue,transferred-cifar-config,information-theoretic,977,977,0.09995097667,0.2118499279,0.08597458154,0.1874914318,0.02561370143,0.1050946355,0.01669994452,0.09789667554,0.06823646214,0.06168435927
scarce-10pct,0.1,het-xl-e6rpfaue,transferred-cifar-config,bregman-estimated,977,977,0.09995097667,0.5281078815,0.08597458154,0.6331686974,0.02561370143,0.1050946355,-0.02596731319,0.09628906043,0.06823646214,0.06020270656
scarce-10pct,0.1,sngp-jkzjb5vz,transferred-cifar-config,information-theoretic,977,977,0.6134441495,0.03265493736,0.05709533766,0.01914018206,0.09326188134,0.1345636239,0.004691580734,-0.001266243692,0.1122571009,0.007046996987
scarce-10pct,0.1,sngp-jkzjb5vz,transferred-cifar-config,bregman-estimated,977,977,0.6134441495,0.03702142835,0.05709533766,0.08711547405,0.09326188134,0.1345636239,0.02367443138,0.00169799836,0.1122571009,0.009310711291
scarce-10pct,0.1,shallow-ensemble,transferred-cifar-config,information-theoretic,977,977,0.1627424657,0.0004195859656,0.2130874097,0.000914840668,-0.0141585873,0.05252925381,-0.02762717982,0.07036127435,0.01859906459,0.04192334668
scarce-10pct,0.1,shallow-ensemble,transferred-cifar-config,bregman-estimated,977,977,0.1627424657,0.0004048723495,0.2130874097,0.0008798082126,-0.0141585873,0.05252925381,-0.03126386349,0.06705694219,0.01859906459,0.03829149974
scarce-10pct,0.1,het-xl-olapo0kg,transferred-cifar-config,information-theoretic,977,977,0.1358639449,0.2902001739,0.08465722948,0.1907553375,0.09094159597,0.1252632301,0.03716084693,0.07800152989,0.09041395704,0.04701214644
scarce-10pct,0.1,het-xl-olapo0kg,transferred-cifar-config,bregman-estimated,977,977,0.1358639449,0.8911622167,0.08465722948,0.8714052439,0.09094159597,0.1252632301,-0.0006328783202,0.07985942191,0.09041395704,0.04883311301
scarce-10pct,0.1,hetclassnn,transferred-cifar-config,information-theoretic,977,977,0.3496925831,0.05552894995,0.2055422068,0.04145286977,0.1493863383,0.1850131059,0.083298483,0.1202610764,0.1623733958,0.109573653
scarce-10pct,0.1,hetclassnn,transferred-cifar-config,bregman-estimated,977,977,0.3496925831,0.06287570298,0.2055422068,0.05620735139,0.1493863383,0.1850131059,0.07410995491,0.1289655416,0.1623733958,0.117313771
full-data,1,correctness-prediction,exact-cdc24149,information-theoretic,977,977,0.1093047783,0,0.2011433691,0,0.06267728174,0.1585035034,,,0.1406694052,
full-data,1,correctness-prediction,exact-cdc24149,bregman-estimated,977,977,0.1093047783,1.064099364e-10,0.2011433691,7.201790275e-09,0.06267728174,0.1585035034,,,0.1406694052,
scarce-50pct,0.5,correctness-prediction,exact-cdc24149,information-theoretic,977,977,0.1919858307,0,0.2016327381,0,-0.01450355745,0.1014952445,,,0.05821515948,
