method,method_label,severity,corruption,it_au_ood_auroc,it_eu_ood_auroc,total_entropy_ood_auroc,bregman_au_ood_auroc
postnet,PostNet,4,jpeg_compression,0.512191,0.517427,0.512221,0.512191
postnet,PostNet,4,motion_blur,0.544830,0.547760,0.544851,0.544830
postnet,PostNet,4,pixelate,0.506978,0.506940,0.506979,0.506978
postnet,PostNet,4,stain_deposit,0.520919,0.516967,0.520890,0.520919
postnet,PostNet,5,brightness_down,0.818756,0.905422,0.819338,0.818756
postnet,PostNet,5,bubble,0.181847,0.173467,0.181793,0.181847
postnet,PostNet,5,contrast_up,0.380857,0.387367,0.380894,0.380857
postnet,PostNet,5,defocus_blur,0.552315,0.554974,0.552328,0.552315
postnet,PostNet,5,jpeg_compression,0.511694,0.517105,0.511729,0.511694
postnet,PostNet,5,motion_blur,0.551298,0.554541,0.551321,0.551298
postnet,PostNet,5,pixelate,0.511389,0.511733,0.511401,0.511389
postnet,PostNet,5,stain_deposit,0.557899,0.548226,0.557840,0.557899
edl,EDL,1,brightness_down,0.478045,0.644901,0.670009,0.478045
edl,EDL,1,bubble,0.520531,0.452904,0.459254,0.520531
edl,EDL,1,contrast_up,0.601177,0.399719,0.469497,0.601177
edl,EDL,1,defocus_blur,0.463819,0.540827,0.514993,0.463819
edl,EDL,1,jpeg_compression,0.481341,0.506080,0.496614,0.481341
edl,EDL,1,motion_blur,0.406467,0.592910,0.528277,0.406467
edl,EDL,1,pixelate,0.513185,0.490004,0.500433,0.513185
edl,EDL,1,stain_deposit,0.504739,0.498876,0.502200,0.504739
edl,EDL,2,brightness_down,0.497916,0.664300,0.805808,0.497916
edl,EDL,2,bubble,0.537499,0.408999,0.421746,0.537499
edl,EDL,2,contrast_up,0.681543,0.319557,0.438565,0.681543
edl,EDL,2,defocus_blur,0.408869,0.591678,0.529860,0.408869
edl,EDL,2,jpeg_compression,0.486302,0.502791,0.496754,0.486302
edl,EDL,2,motion_blur,0.369100,0.624531,0.539406,0.369100
edl,EDL,2,pixelate,0.511872,0.489545,0.498717,0.511872
edl,EDL,2,stain_deposit,0.519117,0.499985,0.512713,0.519117
edl,EDL,3,brightness_down,0.603445,0.543264,0.886504,0.603445
edl,EDL,3,bubble,0.560035,0.314004,0.328275,0.560035
edl,EDL,3,contrast_up,0.742952,0.258044,0.410581,0.742952
edl,EDL,3,defocus_blur,0.368581,0.624121,0.540464,0.368581
edl,EDL,3,jpeg_compression,0.476375,0.508900,0.497589,0.476375
edl,EDL,3,motion_blur,0.343002,0.645450,0.547450,0.343002
edl,EDL,3,pixelate,0.531285,0.470157,0.495152,0.531285
edl,EDL,3,stain_deposit,0.528845,0.499830,0.519010,0.528845
edl,EDL,4,brightness_down,0.770088,0.342733,0.881331,0.770088
edl,EDL,4,bubble,0.570212,0.269146,0.282636,0.570212
edl,EDL,4,contrast_up,0.788866,0.210884,0.385612,0.788866
edl,EDL,4,defocus_blur,0.344477,0.641953,0.546637,0.344477
edl,EDL,4,jpeg_compression,0.479273,0.508022,0.498644,0.479273
edl,EDL,4,motion_blur,0.343002,0.645450,0.547450,0.343002
edl,EDL,4,pixelate,0.486030,0.519084,0.507394,0.486030
edl,EDL,4,stain_deposit,0.537777,0.500083,0.525190,0.537777
edl,EDL,5,brightness_down,0.879525,0.182020,0.771864,0.879525
edl,EDL,5,bubble,0.560630,0.163775,0.167712,0.560630
edl,EDL,5,contrast_up,0.822760,0.175074,0.363793,0.822760
edl,EDL,5,defocus_blur,0.307350,0.668607,0.557082,0.307350
edl,EDL,5,jpeg_compression,0.473760,0.515872,0.499823,0.473760
edl,EDL,5,motion_blur,0.323993,0.660283,0.553526,0.323993
edl,EDL,5,pixelate,0.464573,0.540783,0.512861,0.464573
edl,EDL,5,stain_deposit,0.573797,0.522598,0.570505,0.573797
deep-correctness-prediction,Deep correctness prediction,1,brightness_down,0.669410,0.500000,0.669410,0.669410
deep-correctness-prediction,Deep correctness prediction,1,bubble,0.459723,0.500000,0.459723,0.459723
deep-correctness-prediction,Deep correctness prediction,1,contrast_up,0.470080,0.500000,0.470080,0.470080
deep-correctness-prediction,Deep correctness prediction,1,defocus_blur,0.514856,0.500000,0.514856,0.514856
deep-correctness-prediction,Deep correctness prediction,1,jpeg_compression,0.496366,0.500000,0.496366,0.496366
deep-correctness-prediction,Deep correctness prediction,1,motion_blur,0.527837,0.500000,0.527837,0.527837
deep-correctness-prediction,Deep correctness prediction,1,pixelate,0.500552,0.500000,0.500552,0.500552
deep-correctness-prediction,Deep correctness prediction,1,stain_deposit,0.502176,0.500000,0.502176,0.502176
deep-correctness-prediction,Deep correctness prediction,2,brightness_down,0.805073,0.500000,0.805073,0.805073
deep-correctness-prediction,Deep correctness prediction,2,bubble,0.422566,0.500000,0.422566,0.422566
deep-correctness-prediction,Deep correctness prediction,2,contrast_up,0.439587,0.500000,0.439587,0.439587
deep-correctness-prediction,Deep correctness prediction,2,defocus_blur,0.529491,0.500000,0.529491,0.529491
deep-correctness-prediction,Deep correctness prediction,2,jpeg_compression,0.496498,0.500000,0.496498,0.496498
deep-correctness-prediction,Deep correctness prediction,2,motion_blur,0.538797,0.500000,0.538797,0.538797
deep-correctness-prediction,Deep correctness prediction,2,pixelate,0.498854,0.500000,0.498854,0.498854
deep-correctness-prediction,Deep correctness prediction,2,stain_deposit,0.512700,0.500000,0.512700,0.512700
deep-correctness-prediction,Deep correctness prediction,3,brightness_down,0.886930,0.500000,0.886930,0.886930
deep-correctness-prediction,Deep correctness prediction,3,bubble,0.329234,0.500000,0.329234,0.329234
deep-correctness-prediction,Deep correctness prediction,3,contrast_up,0.411935,0.500000,0.411935,0.411935
deep-correctness-prediction,Deep correctness prediction,3,defocus_blur,0.539962,0.500000,0.539962,0.539962
deep-correctness-prediction,Deep correctness prediction,3,jpeg_compression,0.497331,0.500000,0.497331,0.497331
deep-correctness-prediction,Deep correctness prediction,3,motion_blur,0.546674,0.500000,0.546674,0.546674
deep-correctness-prediction,Deep correctness prediction,3,pixelate,0.495331,0.500000,0.495331,0.495331
deep-correctness-prediction,Deep correctness prediction,3,stain_deposit,0.519000,0.500000,0.519000,0.519000
deep-correctness-prediction,Deep correctness prediction,4,brightness_down,0.881504,0.500000,0.881504,0.881504
deep-correctness-prediction,Deep correctness prediction,4,bubble,0.283745,0.500000,0.283745,0.283745
deep-correctness-prediction,Deep correctness prediction,4,contrast_up,0.387193,0.500000,0.387193,0.387193
deep-correctness-prediction,Deep correctness prediction,4,defocus_blur,0.546054,0.500000,0.546054,0.546054
deep-correctness-prediction,Deep correctness prediction,4,jpeg_compression,0.498415,0.500000,0.498415,0.498415
deep-correctness-prediction,Deep correctness prediction,4,motion_blur,0.546674,0.500000,0.546674,0.546674
deep-correctness-prediction,Deep correctness prediction,4,pixelate,0.507444,0.500000,0.507444,0.507444
deep-correctness-prediction,Deep correctness prediction,4,stain_deposit,0.525159,0.500000,0.525159,0.525159
deep-correctness-prediction,Deep correctness prediction,5,brightness_down,0.772275,0.500000,0.772275,0.772275
deep-correctness-prediction,Deep correctness prediction,5,bubble,0.168864,0.500000,0.168864,0.168864
deep-correctness-prediction,Deep correctness prediction,5,contrast_up,0.365573,0.500000,0.365573,0.365573
deep-correctness-prediction,Deep correctness prediction,5,defocus_blur,0.556308,0.500000,0.556308,0.556308
deep-correctness-prediction,Deep correctness prediction,5,jpeg_compression,0.499532,0.500000,0.499532,0.499532
deep-correctness-prediction,Deep correctness prediction,5,motion_blur,0.552639,0.500000,0.552639,0.552639
deep-correctness-prediction,Deep correctness prediction,5,pixelate,0.512795,0.500000,0.512795,0.512795
deep-correctness-prediction,Deep correctness prediction,5,stain_deposit,0.570452,0.500000,0.570452,0.570452
deep-loss-prediction,Deep loss prediction,1,brightness_down,0.669410,0.500000,0.669410,0.669410
deep-loss-prediction,Deep loss prediction,1,bubble,0.459723,0.500000,0.459723,0.459723
deep-loss-prediction,Deep loss prediction,1,contrast_up,0.470080,0.500000,0.470080,0.470080
deep-loss-prediction,Deep loss prediction,1,defocus_blur,0.514856,0.500000,0.514856,0.514856
deep-loss-prediction,Deep loss prediction,1,jpeg_compression,0.496366,0.500000,0.496366,0.496366
deep-loss-prediction,Deep loss prediction,1,motion_blur,0.527837,0.500000,0.527837,0.527837
deep-loss-prediction,Deep loss prediction,1,pixelate,0.500552,0.500000,0.500552,0.500552
