intervention,method,level,decomposition,clean_au,intervention_au,delta_au,clean_eu,intervention_eu,delta_eu,finite_n
label-noise,loss-prediction,0.4,information-theoretic,0.1019592285,1.716375828,1.6144166,0,0,0,7180
label-noise,loss-prediction,0.4,bregman-estimated,0.1019592285,1.716375828,1.6144166,-3.301845949e-11,1.589563758e-10,1.919748353e-10,7180
label-noise,mc-dropout,0.4,information-theoretic,0.1328613609,1.603274465,1.470413104,0.01678682305,0.002178326482,-0.01460849657,7180
label-noise,mc-dropout,0.4,bregman-estimated,0.1328613609,1.603274465,1.470413104,0.0183695294,0.002187790815,-0.01618173859,7180
label-noise,edl,0.4,information-theoretic,0.5692746639,1.834073424,1.26479876,0.09306623042,0.3614180982,0.2683518678,7180
label-noise,edl,0.4,bregman-estimated,0.5692746639,1.834073424,1.26479876,0.1084155217,0.4383103848,0.3298948631,7180
label-noise,sngp,0.4,information-theoretic,0.1348998994,1.709900498,1.575000599,0.001008035848,0.00728354929,0.006275513442,7180
label-noise,sngp,0.4,bregman-estimated,0.1348998994,1.709900498,1.575000599,0.00101473846,0.007343093399,0.006328354939,7180
label-noise,het,0.4,information-theoretic,0.1217880547,1.564830422,1.443042367,0.01736928709,0.02884599753,0.01147671044,7180
label-noise,het,0.4,bregman-estimated,0.1217880547,1.564830422,1.443042367,0.02015758306,0.02949024737,0.00933266431,7180
label-noise,het-xl,0.4,information-theoretic,0.1636299342,1.589464545,1.425834611,0.01206135191,0.06682751328,0.05476616137,7180
label-noise,het-xl,0.4,bregman-estimated,0.1636299342,1.589464545,1.425834611,0.0128941806,0.06969834864,0.05680416804,7180
label-noise,hetclassnn,0.4,information-theoretic,0.1107285246,1.609501123,1.498772598,0.01530389488,0.00212488207,-0.01317901281,7180
label-noise,hetclassnn,0.4,bregman-estimated,0.1107285246,1.609501123,1.498772598,0.0171825923,0.002130168956,-0.01505242334,7180
label-noise,shallow-ensemble,0.4,information-theoretic,0.1069713533,1.043730855,0.9367595017,0.003378773341,0.6094635725,0.6060847992,7180
label-noise,shallow-ensemble,0.4,bregman-estimated,0.1069713533,1.043730855,0.9367595017,0.003639814677,0.9342032671,0.9305634524,7180
label-noise,duq,0.4,information-theoretic,0.1796124578,1.594254732,1.414642274,0,0,0,7180
label-noise,duq,0.4,bregman-estimated,0.1796124578,1.594254732,1.414642274,-2.251394383e-11,7.390317525e-11,9.641711908e-11,7180
label-noise,deep-correctness-prediction,0.1,information-theoretic,0.1002445519,0.8792077899,0.778963238,0,0,0,7180
label-noise,deep-correctness-prediction,0.1,bregman-estimated,0.1002445519,0.8792077899,0.778963238,4.009551718e-11,-5.023045521e-11,-9.032597239e-11,7180
label-noise,deep-loss-prediction,0.1,information-theoretic,0.1257501543,0.9306922555,0.8049421012,0,0,0,7180
label-noise,deep-loss-prediction,0.1,bregman-estimated,0.1257501543,0.9306922555,0.8049421012,2.199611604e-10,-5.88781468e-10,-8.087426284e-10,7180
label-noise,postnet,0.1,information-theoretic,0.3013033569,0.8538199067,0.5525165498,0.01294224989,0.03165017441,0.01870792452,7180
label-noise,postnet,0.1,bregman-estimated,0.3013033569,0.8538199067,0.5525165498,0.01532571949,0.03852401674,0.02319829725,7180
label-noise,deep-correctness-prediction,0.2,information-theoretic,0.1002445519,1.125088692,1.02484414,0,0,0,7180
label-noise,deep-correctness-prediction,0.2,bregman-estimated,0.1002445519,1.125088692,1.02484414,4.009551718e-11,-1.700933006e-10,-2.101888178e-10,7180
label-noise,deep-loss-prediction,0.2,information-theoretic,0.1257501543,1.141994715,1.016244561,0,0,0,7180
label-noise,deep-loss-prediction,0.2,bregman-estimated,0.1257501543,1.141994715,1.016244561,2.199611604e-10,4.577930257e-10,2.378318653e-10,7180
label-noise,postnet,0.2,information-theoretic,0.3013033569,1.1666435,0.8653401431,0.01294224989,0.005213003606,-0.007729246284,7180
label-noise,postnet,0.2,bregman-estimated,0.3013033569,1.1666435,0.8653401431,0.01532571949,0.005951620638,-0.009374098852,7180
label-noise,deep-correctness-prediction,0.4,information-theoretic,0.1002445519,1.698348284,1.598103732,0,0,0,7180
label-noise,deep-correctness-prediction,0.4,bregman-estimated,0.1002445519,1.698348284,1.598103732,4.009551718e-11,3.800783646e-11,-2.08768072e-12,7180
label-noise,deep-loss-prediction,0.4,information-theoretic,0.1257501543,1.631975055,1.506224901,0,0,0,7180
label-noise,deep-loss-prediction,0.4,bregman-estimated,0.1257501543,1.631975055,1.506224901,2.199611604e-10,-1.479646267e-10,-3.679257871e-10,7180
label-noise,postnet,0.4,information-theoretic,0.3013033569,1.658299446,1.356996089,0.01294224989,0.0009509843658,-0.01199126552,7180
label-noise,postnet,0.4,bregman-estimated,0.3013033569,1.658299446,1.356996089,0.01532571949,0.0008925825241,-0.01443313697,7180
